agg_code,dig_code,dig_desc,count
33,33399B,Fluid power process machinery,1
33,334111,Electronic computer manufacturing,1
33,334112,Computer storage device manufacturing,1
33,33411A,Computer terminals and other computer peripheral equipment manufacturing,1
33,334210,Telephone apparatus manufacturing,1
33,334220,Broadcast and wireless communications equipment,1
33,334290,Other communications equipment manufacturing,1
33,334300,Audio and video equipment manufacturing,1
33,334413,Semiconductor and related device manufacturing,1
33,334418,Printed circuit assembly (electronic assembly) manufacturing,1
33,33441A,Other electronic component manufacturing,1
33,334510,Electromedical and electrotherapeutic apparatus manufacturing,1
33,334511,"Search, detection, and navigation instruments manufacturing",1
33,334512,Automatic environmental control manufacturing,1
33,334513,Industrial process variable instruments manufacturing,1
33,334514,Totalizing fluid meter and counting device manufacturing,1
33,334515,Electricity and signal testing instruments manufacturing,1
33,334516,Analytical laboratory instrument manufacturing,1
33,334517,Irradiation apparatus manufacturing,1
33,33451A,"Watch, clock, and other measuring and controlling device manufacturing",1
33,334610,Manufacturing and reproducing magnetic and optical media,1
33,335110,Electric lamp bulb and part manufacturing,1
33,335120,Lighting fixture manufacturing,1
33,335210,Small electrical appliance manufacturing,1
33,335221,Household cooking appliance manufacturing,1
33,335222,Household refrigerator and home freezer manufacturing,1
33,335224,Household laundry equipment manufacturing,1
33,335228,Other major household appliance manufacturing,1
33,335311,"Power, distribution, and specialty transformer manufacturing",1
33,335312,Motor and generator manufacturing,1
33,335313,Switchgear and switchboard apparatus manufacturing,1
33,335314,Relay and industrial control manufacturing,1
33,335911,Storage battery manufacturing,1
33,335912,Primary battery manufacturing,1
33,335920,Communication and energy wire and cable manufacturing,1
33,335930,Wiring device manufacturing,1
33,335991,Carbon and graphite product manufacturing,1
33,335999,All other miscellaneous electrical equipment and component manufacturing,1
33,336111,Automobile manufacturing,1
33,336112,Light truck and utility vehicle manufacturing,1
33,336120,Heavy duty truck manufacturing,1
33,336211,Motor vehicle body manufacturing,1
33,336212,Truck trailer manufacturing,1
33,336213,Motor home manufacturing,1
33,336214,Travel trailer and camper manufacturing,1
33,336310,Motor vehicle gasoline engine and engine parts manufacturing,1
33,336320,Motor vehicle electrical and electronic equipment manufacturing,1
33,336350,Motor vehicle transmission and power train parts manufacturing,1
33,336360,Motor vehicle seating and interior trim manufacturing,1
33,336370,Motor vehicle metal stamping,1
33,336390,Other motor vehicle parts manufacturing,1
33,3363A0,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",1
33,336411,Aircraft manufacturing,1
33,336412,Aircraft engine and engine parts manufacturing,1
33,336413,Other aircraft parts and auxiliary equipment manufacturing,1
33,336414,Guided missile and space vehicle manufacturing,1
33,33641A,Propulsion units and parts for space vehicles and guided missiles,1
33,336500,Railroad rolling stock manufacturing,1
33,336611,Ship building and repairing,1
33,336612,Boat building,1
33,336991,"Motorcycle, bicycle, and parts manufacturing",1
33,336992,"Military armored vehicle, tank, and tank component manufacturing",1
33,336999,All other transportation equipment manufacturing,1
33,337110,Wood kitchen cabinet and countertop manufacturing,1
33,337121,Upholstered household furniture manufacturing,1
33,337122,Nonupholstered wood household furniture manufacturing,1
33,337127,Institutional furniture manufacturing,1
33,33712A,Other household nonupholstered furniture,1
33,337215,"Showcase, partition, shelving, and locker manufacturing",1
33,33721A,Office furniture and custom architectural woodwork and millwork manufacturing,1
33,337900,Other furniture related product manufacturing,1
33,339112,Surgical and medical instrument manufacturing,1
33,339113,Surgical appliance and supplies manufacturing,1
33,339114,Dental equipment and supplies manufacturing,1
33,339115,Ophthalmic goods manufacturing,1
33,339116,Dental laboratories,1
33,339910,Jewelry and silverware manufacturing,1
33,339920,Sporting and athletic goods manufacturing,1
33,339930,"Doll, toy, and game manufacturing",1
33,339940,Office supplies (except paper) manufacturing,1
33,339950,Sign manufacturing,1
33,339990,All other miscellaneous manufacturing,1
42,420000,Wholesale trade,1
4X,441000,Motor vehicle and parts dealers,1
4X,445000,Food and beverage stores,1
4X,452000,General merchandise stores,1
