dig_code,dig_desc,sig_code,sig_desc
517A00,"Satellite, telecommunications resellers, and all other telecommunications",5130,Broadcasting and telecommunications
518200,"Data processing, hosting, and related services",5140,"Data processing, internet publishing, and other information services"
5191A0,"News syndicates, libraries, archives and all other information services",5140,"Data processing, internet publishing, and other information services"
519130,Internet publishing and broadcasting and Web search portals,5140,"Data processing, internet publishing, and other information services"
52A000,Monetary authorities and depository credit intermediation,52XX,"Federal Reserve banks, credit intermediation, and related activities"
522A00,Nondepository credit intermediation and related activities,52XX,"Federal Reserve banks, credit intermediation, and related activities"
523A00,Securities and commodity contracts intermediation and brokerage,5230,"Securities, commodity contracts, and investments"
523900,Other financial investment activities,5230,"Securities, commodity contracts, and investments"
524100,Insurance carriers,5240,Insurance carriers and related activities
524200,"Insurance agencies, brokerages, and related activities",5240,Insurance carriers and related activities
525000,"Funds, trusts, and other financial vehicles",5250,"Funds, trusts, and other financial vehicles"
531ORE,Other real estate,5310,Real estate
532100,Automotive equipment rental and leasing,5320,Rental and leasing services and lessors of intangible assets
532A00,Consumer goods and general rental centers,5320,Rental and leasing services and lessors of intangible assets
532400,Commercial and industrial machinery and equipment rental and leasing,5320,Rental and leasing services and lessors of intangible assets
533000,Lessors of nonfinancial intangible assets,5320,Rental and leasing services and lessors of intangible assets
541100,Legal services,5411,Legal services
541511,Custom computer programming services,5415,Computer systems design and related services
541512,Computer systems design services,5415,Computer systems design and related services
54151A,"Other computer related services, including facilities management",5415,Computer systems design and related services
541200,"Accounting, tax preparation, bookkeeping, and payroll services",5412,"Miscellaneous professional, scientific, and technical services"
541300,"Architectural, engineering, and related services",5412,"Miscellaneous professional, scientific, and technical services"
541400,Specialized design services,5412,"Miscellaneous professional, scientific, and technical services"
541610,Management consulting services,5412,"Miscellaneous professional, scientific, and technical services"
5416A0,Environmental and other technical consulting services,5412,"Miscellaneous professional, scientific, and technical services"
541700,Scientific research and development services,5412,"Miscellaneous professional, scientific, and technical services"
541800,"Advertising, public relations, and related services",5412,"Miscellaneous professional, scientific, and technical services"
5419A0,"Marketing research and all other miscellaneous professional, scientific, and technical services",5412,"Miscellaneous professional, scientific, and technical services"
541920,Photographic services,5412,"Miscellaneous professional, scientific, and technical services"
541940,Veterinary services,5412,"Miscellaneous professional, scientific, and technical services"
550000,Management of companies and enterprises,5500,Management of companies and enterprises
561100,Office administrative services,5610,Administrative and support services
561200,Facilities support services,5610,Administrative and support services
561300,Employment services,5610,Administrative and support services
561400,Business support services,5610,Administrative and support services
561500,Travel arrangement and reservation services,5610,Administrative and support services
561600,Investigation and security services,5610,Administrative and support services
561700,Services to buildings and dwellings,5610,Administrative and support services
561900,Other support services,5610,Administrative and support services
562000,Waste management and remediation services,5620,Waste management and remediation services
611100,Elementary and secondary schools,6100,Educational services
611A00,"Junior colleges, colleges, universities, and professional schools",6100,Educational services
611B00,Other educational services,6100,Educational services
621100,Offices of physicians,6210,Ambulatory health care services
621200,Offices of dentists,6210,Ambulatory health care services
621300,Offices of other health practitioners,6210,Ambulatory health care services
621400,Outpatient care centers,6210,Ambulatory health care services
621500,Medical and diagnostic laboratories,6210,Ambulatory health care services
621600,Home health care services,6210,Ambulatory health care services
