peq_code,peq_desc,dig_code,dig_desc,pro,tra,who,ret,pur
44,Other,541300,"Architectural, engineering, and related services",3181,0,0,0,3181
44,Other,S00402,Used and secondhand goods,156,3,69,0,228
45,"Less: Sale of equipment scrap, excluding autos",S00401,Scrap,-12184,0,0,0,-12184
46,Residential equipment,334300,Audio and video equipment manufacturing,364,6,51,34,455
46,Residential equipment,335210,Small electrical appliance manufacturing,25,4,4,1,34
46,Residential equipment,335221,Household cooking appliance manufacturing,2009,45,280,89,2422
46,Residential equipment,335222,Household refrigerator and home freezer manufacturing,2237,59,312,99,2706
46,Residential equipment,335228,Other major household appliance manufacturing,643,12,90,28,773
46,Residential equipment,337121,Upholstered household furniture manufacturing,120,20,16,25,180
46,Residential equipment,337122,Nonupholstered wood household furniture manufacturing,175,29,23,36,263
46,Residential equipment,33712A,Other household nonupholstered furniture,42,7,6,9,63
46,Residential equipment,337215,"Showcase, partition, shelving, and locker manufacturing",6,1,1,1,10
46,Residential equipment,337900,Other furniture related product manufacturing,73,12,10,15,110
46,Residential equipment,314110,Carpet and rug mills,953,49,315,1340,2656
46,Residential equipment,326150,Urethane and other foam product (except polystyrene) manufacturing,7,0,4,154,165
46,Residential equipment,326290,Other rubber product manufacturing,17,0,2,19,39
